序号,功能码,地址,名字,数据类型,倍率,偏移,单位
0.0,1,0,充电指示灯,BOOL,1.0,0.0,
1.0,1,1,放电指示灯,BOOL,1.0,0.0,
2.0,1,2,待机指示灯,BOOL,1.0,0.0,
3.0,1,3,故障指示灯,BOOL,1.0,0.0,
4.0,1,4,电量低,BOOL,1.0,0.0,
5.0,1,5,do6,BOOL,1.0,0.0,
6.0,1,6,do7,BOOL,1.0,0.0,
7.0,1,7,do8,BOOL,1.0,0.0,
8.0,2,0,手动充电使能,BOOL,1.0,0.0,
9.0,2,1,di2,BOOL,1.0,0.0,
10.0,2,2,di3,BOOL,1.0,0.0,
11.0,2,3,di4,BOOL,1.0,0.0,
12.0,2,4,di5,BOOL,1.0,0.0,
13.0,2,5,di6,BOOL,1.0,0.0,
14.0,2,6,di7,BOOL,1.0,0.0,
15.0,2,7,di8,BOOL,1.0,0.0,
,na,0,电量低,1,,,
