序号,功能码,地址,名字,数据类型,倍率,偏移,单位
1.0,3,0x0189,A相功率因数,INT16,100.0,0.0,
2.0,3,0x018A,B相功率因数,INT16,100.0,0.0,
3.0,3,0x018B,C相功率因数,INT16,100.0,0.0,
4.0,3,0x0291,开机、关机指令,INT16,1.0,0.0,
5.0,3,0X02A6,A相有功功率给定,INT16,10.0,0.0,kW
6.0,3,0X02A7,A相无功功率给定,INT16,10.0,0.0,kW
7.0,3,0X02A8,B相有功功率给定,INT16,10.0,0.0,kW
8.0,3,0X02A9,B相无功功率给定,INT16,10.0,0.0,kW
9.0,3,0X02AA,C相有功功率给定,INT16,10.0,0.0,kW
10.0,3,0X02AB,C相无功功率给定,INT16,10.0,0.0,kW
11.0,3,0x0D57,下设有功充电/放电功率,INT16,10.0,0.0,kW
12.0,3,0x0D58,无功功率补偿功率设置,INT16,10.0,0.0,kW
13.0,3,0x1004,HMIModbus波特率,UINT16,1.0,0.0,
14.0,3,0x1007,ReModbus波特率,UINT16,1.0,0.0,
15.0,3,0x1010,ReModbus地址,UINT16,1.0,0.0,
16.0,3,0x1011,HMIModbus地址,UINT16,1.0,0.0,
17.0,3,0x1400,故障复位指令,INT16,1.0,0.0,
18.0,3,0x1405,固化参数指令,UINT16,1.0,0.0,
19.0,3,0x1600,交流线电压过压保护点,UINT16,10.0,0.0,V
20.0,3,0x1601,交流线电压欠压保护点,UINT16,10.0,0.0,V
21.0,3,0x1603,交流过流保护点,UINT16,10.0,0.0,A
22.0,3,0x1611,母线过压保护点,UINT16,10.0,0.0,V
23.0,3,0x1612,母线欠压保护点,UINT16,10.0,0.0,V
24.0,3,0x1620,模块过温保护点,UINT16,10.0,0.0,℃
25.0,3,0x1633,电池过压保护点,UINT16,10.0,0.0,V
26.0,3,0x1634,电池欠压保护点,UINT16,10.0,0.0,V
27.0,3,0x1640,并网允许最大充电/放电电流,UINT16,10.0,0.0,A
28.0,3,0x1641,直流过流保护点,UINT16,10.0,0.0,A
29.0,3,0x1643,恒流转恒压充电电池电压点,UINT16,10.0,0.0,V
30.0,3,0x1644,电池恒压充电电压,UINT16,10.0,0.0,V
31.0,3,0x1648,EMS（BMS）通讯故障时间阈值,UINT16,1.0,0.0,s
32.0,3,0x1650,恒压充电最大时间限制,UINT16,1.0,0.0,s
33.0,3,0x1651,恒压转浮充电流点设置,UINT16,10.0,0.0,A
34.0,3,0x1653,电池浮充电压点设置,UINT16,10.0,0.0,V
35.0,3,0x1654,浮充转恒流电流点设置,UINT16,10.0,0.0,A
36.0,3,0x1700,硬件故障字1,UINT16,1.0,0.0,
37.0,3,0x1701,硬件故障字2,UINT16,1.0,0.0,
38.0,3,0x1702,电网故障字,UINT16,1.0,0.0,
39.0,3,0x1703,母线故障字,UINT16,1.0,0.0,
40.0,3,0x1704,交流电容故障字,UINT16,1.0,0.0,
41.0,3,0x1705,系统故障字,UINT16,1.0,0.0,
42.0,3,0x1706,开关故障字,UINT16,1.0,0.0,
43.0,3,0x1707,其他故障字,UINT16,1.0,0.0,
44.0,3,0x501B,模块运行模式设置,INT16,1.0,0.0,
45.0,3,0x5066,离网模式设置,UINT16,1.0,0.0,
46.0,3,0x6000,DSP版本1,INT16,1.0,0.0,
