序号,功能码,地址,名字,数据类型,倍率,偏移,单位
1,3,0x00,1路电压,INT32,100,0,V
2,3,0x02,2路电压,INT32,100,0,V
3,3,0x04,1路电流,INT32,1000,0,A
4,3,0x06,2路电流,INT32,1000,0,A
5,3,0x08,1路功率,INT32,10,0,W
6,3,0x0A,2路功率,INT32,10,0,W
7,3,0x0C,1路电能,UINT32,100,0,kWh
8,3,0x0E,2路电能,UINT32,100,0,kWh
9,3,0x1F40,第一路正向电能,UINT64,10000,0,kWh
10,3,0x1F44,第一路反向电能,UINT64,10000,0,kWh
11,3,0x1FC8,第二路正向电能,UINT64,10000,0,kWh
12,3,0x1FCC,第二路正向电能,UINT64,10000,0,kWh
