序号,功能码,地址,名字,数据类型,倍率,偏移,单位
1,3,0,当前温度,FLOAT,10,0,℃
2,3,1,当前湿度,FLOAT,10,0,%
3,3,2,湿度启动值,INT,1,0,%
4,3,3,湿度停止值,INT,1,0,%
5,3,4,加热启动值,INT,1,0,℃
6,3,5,温度报警值,INT,1,0,℃
7,3,6,湿度报警值,INT,1,0,%
8,3,7,加热状态,INT,1,0,
9,3,8,除湿机工作状态,INT,1,0,
10,3,9,除湿手自动切换,INT,1,0,
11,3,10,手动输出加湿,INT,1,0,
12,3,11,手动输出加热,INT,1,0,
13,3,12,超温提示,INT,1,0,
14,3,13,超湿提示,INT,1,0,
