序号,功能码,地址,名字,数据类型,倍率,偏移,单位
1.0,3,0,湿度,FLOAT,10.0,0.0,%
2.0,3,1,温度,FLOAT,10.0,0.0,℃
3.0,3,2,烟雾浓度,INT,1.0,0.0,ppm
,na,0,烟雾浓度一级报警,1,,,
,na,1,烟雾浓度二级报警,2,,,
